,Name,Rating,Price,Department
63,Historic Durham- Enjoy the beautiful architecture of this UNESCO heritage town,5.0 out of 5 stars,$48.30,Amazon Explore
64,Visit the Alsace region's historic medieval city of Strasbourg,5.0 out of 5 stars,$55.30,Amazon Explore
65,"Upgrade your kitchen: shop unique kitchenware in Osaka, the culinary capitol of…",5.0 out of 5 stars,$39.20,Amazon Explore
66,Wildlife spotting in the Royal Botanic Gardens of Melbourne,,$49.00,Amazon Explore
67,"Whip up a batch of classic Argentine cookies, the ""alfajores""",4.9 out of 5 stars,$20.30,Amazon Explore
68,Beyond a University Town: Explore the History of Heidelberg,5.0 out of 5 stars,$59.50,Amazon Explore
69,Surfs Up! Sweeping views of the Australian coast & shop artsy souvenirs,5.0 out of 5 stars,$49.00,Amazon Explore
70,"Manarola, Cinque Terre National Park- Quaint Villages, Colourful Houses & Italian Riveria…",5.0 out of 5 stars,$59.50,Amazon Explore
71,"Hitler's movements and Nazi Party history in Munich, Germany",,$49.00,Amazon Explore
72,Ljubljana love stories: a virtual tour with romantic stories from Slovenia's capital,5.0 out of 5 stars,$25.00 - $35.00,Amazon Explore
73,Turn over a new snack: learn to make savory Argentinian empanadas from Buenos Aires,5.0 out of 5 stars,$14.00 - $20.30,Amazon Explore
74,The ultimate Japanese Foodie challenge: a virtual Tokyo tour and interactive quiz,,$20.00,Amazon Explore
75,The complete Prague highlights: virtual driving and walking tour,5.0 out of 5 stars,$24.00,Amazon Explore
76,Uncover the Haunted History of Chicago,4.9 out of 5 stars,$24.50 - $49.00,Amazon Explore
77,"Witchcraft, crime, and legends: the dark stories of Bergen",5.0 out of 5 stars,$39.00 - $55.00,Amazon Explore
78,Ride the iconic Star Ferry across Hong Kong's Victoria Harbour,,$49.00,Amazon Explore
79,"Live the Lille life: cobblestone streets, beautiful architecture, and fascinating history in norther",,$49.00 - $59.50,Amazon Explore
80,"Explore the ancient ruins of Pompeii, a city doomed by a volcano and frozen in time",5.0 out of 5 stars,$83.30,Amazon Explore
81,Tokyo shopping spree! Shop at one of the most famous shopping districts in the world,5.0 out of 5 stars,$36.00,Amazon Explore
82,Kowloon Hustle: Visit Hong Kong's Vibrant Sham Shui Po Neighborhood,5.0 out of 5 stars,$39.00 - $65.00,Amazon Explore
83,Virtually visit Venice and the city on water's most iconic canals and bridges,,$49.00 - $59.50,Amazon Explore
84,Berlin's historic Nazi era: Retrace Hitler's footsteps,5.0 out of 5 stars,$69.30,Amazon Explore
85,Lift your spirits & celebrate Witches' New Year with a Halloween tarot card reading,,$30.00,Amazon Explore
86,Virtually explore and shop in Tokyo's Asakusa,4.9 out of 5 stars,$29.00,Amazon Explore
87,Cornerstone city of history: explore Jaffa and its rich architecture and culture,5.0 out of 5 stars,$69.00,Amazon Explore
88,Explore the magnificent Celje Castle- the largest fortification in Slovenia,,$32.00 - $41.30,Amazon Explore
89,"Mysteries, monsters and magic: explore Edinburgh's unusual tales",4.9 out of 5 stars,$69.00,Amazon Explore
90,"Dijon, More than just Mustard- Beautiful Palaces, Fascinating Architecture and…",5.0 out of 5 stars,$59.50,Amazon Explore
91,Purr-fect your Spanish while exploring Lima's cat park and Inca market,5.0 out of 5 stars,$25.00,Amazon Explore
92,Explore the enchanting Bled Castle and its breathtaking views,,$32.00 - $41.30,Amazon Explore
93,Violence and splendor in Ancient Rome: the Colosseum and its gladiators,5.0 out of 5 stars,$66.50,Amazon Explore
94,iPhone Photography Masterclass: A photography lesson with an award winning…,5.0 out of 5 stars,$45.00,Amazon Explore
95,Goodbye auto mode! Learn to take control of your camera in 1 hour with a professional photographer,,$60.00 - $63.00,Amazon Explore
96,Urban playground of the rock and roll famous: explore London's Soho district,5.0 out of 5 stars,$99.00,Amazon Explore
97,"Shrines, Temples and Machiya Houses of Gion: Walk through Kyoto's Geisha District",5.0 out of 5 stars,$37.80,Amazon Explore
98,Virtually learn about the history at Sensoji in Tokyo,4.9 out of 5 stars,$25.00 - $29.00,Amazon Explore
